Tiempo (s),latitud,longitud,Altitud (m),Presión (mb),Temperatura (ºC),Humedad (%),Acelz (m/s2),co2 (ppm),TVOC (ppb)
800,"37,328922","-5,72391","4,22","1012,74","31,03","38,9","3,42",4200,5417
801,"37,328922","-5,723911","4,2","1012,75","31,03",39,"3,39",4200,5417
802,"37,328922","-5,723912","4,22","1012,74","31,03",39,"3,41",4200,5417
803,"37,328922","-5,723912","4,19","1012,75","31,03",39,"3,5",4200,5417
804,"37,328922","-5,723912","4,2","1012,75","31,03",39,"3,44",4200,5417
805,"37,328922","-5,723912","4,19","1012,75","31,03",39,"3,5",4200,5417
806,"37,328922","-5,723912","4,19","1012,75","31,03",39,"3,51",4200,5417
807,"37,328926","-5,723912","4,17","1012,75","31,03",39,"3,37",4240,5495
808,"37,32893","-5,723911","4,19","1012,75","31,03",39,"3,46",4240,5495
809,"37,32893","-5,723911","4,15","1012,75","31,04",39,"3,39",4200,5417
810,"37,32893","-5,723911","4,17","1012,75","31,03",39,"3,43",4200,5417
811,"37,32893","-5,723911","4,17","1012,75","31,03",39,"3,43",4200,5417
812,"37,32893","-5,723912","4,19","1012,75","31,03",39,"3,46",4200,5417
813,"37,32893","-5,723912","4,16","1012,75","31,03",39,"3,34",4240,5495
814,"37,32893","-5,723912","4,15","1012,75","31,04",39,"3,36",4240,5495
815,"37,32893","-5,723912","4,19","1012,75","31,03",39,"3,47",4200,5417
816,"37,32893","-5,723912","4,23","1012,74","31,03",39,"3,33",4200,5417
817,"37,32893","-5,723912","4,2","1012,75","31,03",39,"3,44",4200,5417
818,"37,32893","-5,723912","4,23","1012,74","31,03",39,"3,38",4200,5417
819,"37,328934","-5,723912","4,26","1012,74","31,03",39,"3,38",4200,5417
820,"37,32893","-5,723912","4,29","1012,73","31,03",39,"3,39",4200,5417
821,"37,32893","-5,723912","4,28","1012,74","31,03",39,"3,42",4200,5417
822,"37,32893","-5,723912","4,29","1012,73","31,03",39,"3,46",4200,5417
823,"37,328934","-5,723912","4,32","1012,73","31,03",39,"3,55",4200,5417
824,"37,32893","-5,723912","4,31","1012,73","31,03",39,"3,55",4200,5417
825,"37,32893","-5,723912","4,29","1012,73","31,03",39,"3,49",4240,5495
826,"37,32893","-5,723913","4,25","1012,74","31,03",39,"3,43",4240,5495
827,"37,32893","-5,723913","4,26","1012,74","31,03",39,"3,48",4200,5417
828,"37,328926","-5,723913","4,31","1012,73","31,03",39,"3,55",4200,5417
829,"37,328922","-5,723914","4,29","1012,73","31,03",39,"3,38",4200,5417
830,"37,328922","-5,723915","4,29","1012,73","31,03",39,"3,48",4200,5417
831,"37,328922","-5,723916","4,25","1012,74","31,03",39,"3,48",4240,5495
